issued_time,n_pairs,hits,misses,false_alarms,correct_negatives,correct_total,accuracy_pct,obs_rain_count,obs_no_rain_count,fc_rain_count,fc_no_rain_count
2026:02:09T00:00:00,24,0,0,1,23,23,95.83,0,24,1,23
2026:02:09T12:00:00,24,0,0,2,22,22,91.67,0,24,2,22
2026:02:10T00:00:00,24,0,0,1,23,23,95.83,0,24,1,23
2026:02:10T12:00:00,24,0,0,0,24,24,100.0,0,24,0,24
2026:02:11T00:00:00,24,0,0,0,24,24,100.0,0,24,0,24
2026:02:11T12:00:00,24,0,0,5,19,19,79.17,0,24,5,19
2026:02:12T00:00:00,24,0,0,4,20,20,83.33,0,24,4,20
2026:02:12T12:00:00,24,0,0,1,23,23,95.83,0,24,1,23
2026:02:13T00:00:00,24,0,0,0,24,24,100.0,0,24,0,24
2026:02:13T12:00:00,24,0,0,1,23,23,95.83,0,24,1,23
2026:02:14T00:00:00,24,0,0,4,20,20,83.33,0,24,4,20
2026:02:14T12:00:00,24,0,0,2,22,22,91.67,0,24,2,22
2026:02:15T00:00:00,24,0,0,4,20,20,83.33,0,24,4,20
2026:02:15T12:00:00,24,0,0,3,21,21,87.5,0,24,3,21
2026:02:16T00:00:00,24,0,0,1,23,23,95.83,0,24,1,23
2026:02:16T12:00:00,24,0,0,0,24,24,100.0,0,24,0,24
2026:02:17T00:00:00,24,0,0,1,23,23,95.83,0,24,1,23
2026:02:17T12:00:00,24,0,0,2,22,22,91.67,0,24,2,22
2026:02:18T00:00:00,24,0,0,1,23,23,95.83,0,24,1,23
2026:02:18T12:00:00,24,0,0,0,24,24,100.0,0,24,0,24
2026:02:19T00:00:00,24,0,0,0,24,24,100.0,0,24,0,24
2026:02:19T12:00:00,24,0,0,0,24,24,100.0,0,24,0,24
2026:02:20T00:00:00,24,0,0,0,24,24,100.0,0,24,0,24
2026:02:20T12:00:00,24,0,0,0,24,24,100.0,0,24,0,24
2026:02:21T00:00:00,24,0,0,0,24,24,100.0,0,24,0,24
2026:02:21T12:00:00,24,0,0,3,21,21,87.5,0,24,3,21
2026:02:22T00:00:00,24,0,0,3,21,21,87.5,0,24,3,21
2026:02:22T12:00:00,24,0,0,5,19,19,79.17,0,24,5,19
2026:02:23T00:00:00,12,0,0,5,7,7,58.33,0,12,5,7
