issued_time,n_pairs,hits,misses,false_alarms,correct_negatives,pod,far,csi,accuracy,bias_score
2026:02:09T00:00:00,129,5,7,23,94,0.4167,0.8214,0.1429,0.7674,2.3333
2026:02:09T12:00:00,128,3,6,19,100,0.3333,0.8636,0.1071,0.8047,2.4444
2026:02:10T00:00:00,121,3,6,19,93,0.3333,0.8636,0.1071,0.7934,2.4444
2026:02:10T12:00:00,115,6,3,17,89,0.6667,0.7391,0.2308,0.8261,2.5556
2026:02:11T00:00:00,115,5,4,24,82,0.5556,0.8276,0.1515,0.7565,3.2222
2026:02:11T12:00:00,115,4,4,26,81,0.5,0.8667,0.1176,0.7391,3.75
2026:02:12T00:00:00,115,3,5,24,83,0.375,0.8889,0.0938,0.7478,3.375
2026:02:12T12:00:00,115,5,4,9,97,0.5556,0.6429,0.2778,0.887,1.5556
2026:02:13T00:00:00,115,4,2,20,89,0.6667,0.8333,0.1538,0.8087,4.0
2026:02:13T12:00:00,120,3,6,20,91,0.3333,0.8696,0.1034,0.7833,2.5556
2026:02:14T00:00:00,125,6,5,16,98,0.5455,0.7273,0.2222,0.832,2.0
2026:02:14T12:00:00,125,5,11,25,84,0.3125,0.8333,0.122,0.712,1.875
2026:02:15T00:00:00,125,4,12,14,95,0.25,0.7778,0.1333,0.792,1.125
2026:02:15T12:00:00,130,10,6,36,78,0.625,0.7826,0.1923,0.6769,2.875
2026:02:16T00:00:00,136,12,6,35,83,0.6667,0.7447,0.2264,0.6985,2.6111
2026:02:16T12:00:00,139,11,6,37,85,0.6471,0.7708,0.2037,0.6906,2.8235
2026:02:17T00:00:00,139,8,10,45,76,0.4444,0.8491,0.127,0.6043,2.9444
2026:02:17T12:00:00,139,10,9,38,82,0.5263,0.7917,0.1754,0.6619,2.5263
2026:02:18T00:00:00,131,12,6,53,60,0.6667,0.8154,0.169,0.5496,3.6111
2026:02:18T12:00:00,119,11,6,28,74,0.6471,0.7179,0.2444,0.7143,2.2941
2026:02:19T00:00:00,107,10,7,28,62,0.5882,0.7368,0.2222,0.6729,2.2353
2026:02:19T12:00:00,95,10,4,26,55,0.7143,0.7222,0.25,0.6842,2.5714
2026:02:20T00:00:00,83,6,2,23,52,0.75,0.7931,0.1935,0.6988,3.625
2026:02:20T12:00:00,71,2,3,18,48,0.4,0.9,0.087,0.7042,4.0
2026:02:21T00:00:00,59,3,2,17,37,0.6,0.85,0.1364,0.678,4.0
2026:02:21T12:00:00,47,0,3,6,38,0.0,1.0,0.0,0.8085,2.0
2026:02:22T00:00:00,35,1,2,10,22,0.3333,0.9091,0.0769,0.6571,3.6667
2026:02:22T12:00:00,23,1,1,8,13,0.5,0.8889,0.1,0.6087,4.5
2026:02:23T00:00:00,11,0,0,4,7,,1.0,0.0,0.6364,
