issued_time,n_pairs,mse_forecast,mse_climatology,mse_skill_score,brier_score_forecast,brier_score_climatology,brier_skill_score,climatology_mean,climatology_rain_prob
2026:02:09T00:00:00,129,71.7172,44.0215,-0.6291,0.2326,0.0845,-1.7533,0.8963,0.1027
2026:02:09T12:00:00,128,57.8431,44.1731,-0.3095,0.1953,0.0664,-1.9406,0.8963,0.1027
2026:02:10T00:00:00,121,58.6542,46.6821,-0.2565,0.2066,0.0697,-1.9663,0.8963,0.1027
2026:02:10T12:00:00,115,49.0237,49.0946,0.0014,0.1739,0.0727,-1.391,0.8963,0.1027
2026:02:11T00:00:00,115,54.201,49.0946,-0.104,0.2435,0.0727,-2.3475,0.8963,0.1027
2026:02:11T12:00:00,115,52.4578,48.612,-0.0791,0.2609,0.0658,-2.963,0.8963,0.1027
2026:02:12T00:00:00,115,55.238,48.612,-0.1363,0.2522,0.0658,-2.8309,0.8963,0.1027
2026:02:12T12:00:00,115,49.3809,50.8108,0.0281,0.113,0.0727,-0.5542,0.8963,0.1027
2026:02:13T00:00:00,115,51.0196,46.9712,-0.0862,0.1913,0.052,-2.6783,0.8963,0.1027
2026:02:13T12:00:00,120,54.8978,49.5553,-0.1078,0.2167,0.0701,-2.0889,0.8963,0.1027
2026:02:14T00:00:00,125,44.861,47.6516,0.0586,0.168,0.0805,-1.0876,0.8963,0.1027
2026:02:14T12:00:00,125,23.9262,15.8499,-0.5096,0.288,0.1123,-1.5656,0.8963,0.1027
2026:02:15T00:00:00,125,24.2218,15.8499,-0.5282,0.208,0.1123,-0.8529,0.8963,0.1027
2026:02:15T12:00:00,130,20.4052,15.2712,-0.3362,0.3231,0.1083,-1.982,0.8963,0.1027
2026:02:16T00:00:00,136,17.8567,14.9299,-0.196,0.3015,0.1157,-1.6053,0.8963,0.1027
2026:02:16T12:00:00,139,19.1757,14.6145,-0.3121,0.3094,0.1077,-1.8716,0.8963,0.1027
2026:02:17T00:00:00,139,19.9528,14.625,-0.3643,0.3957,0.1134,-2.488,0.8963,0.1027
2026:02:17T12:00:00,139,23.125,14.8066,-0.5618,0.3381,0.1192,-1.8376,0.8963,0.1027
2026:02:18T00:00:00,131,21.7484,15.3646,-0.4155,0.4504,0.1197,-2.7618,0.8963,0.1027
2026:02:18T12:00:00,119,15.3165,15.0229,-0.0195,0.2857,0.1241,-1.3031,0.8963,0.1027
2026:02:19T00:00:00,107,16.5254,16.6176,0.0055,0.3271,0.1368,-1.3913,0.8963,0.1027
2026:02:19T12:00:00,95,22.6572,12.9211,-0.7535,0.3158,0.1276,-1.474,0.8963,0.1027
2026:02:20T00:00:00,83,5.1014,2.0033,-1.5465,0.3012,0.0871,-2.4567,0.8963,0.1027
2026:02:20T12:00:00,71,3.3773,1.7384,-0.9428,0.2958,0.0665,-3.4472,0.8963,0.1027
2026:02:21T00:00:00,59,4.7032,1.9285,-1.4388,0.322,0.0779,-3.1346,0.8963,0.1027
2026:02:21T12:00:00,47,0.9364,1.3564,0.3097,0.1915,0.0613,-2.1254,0.8963,0.1027
2026:02:22T00:00:00,35,1.3195,1.546,0.1465,0.3429,0.0787,-3.3589,0.8963,0.1027
2026:02:22T12:00:00,23,2.5711,1.8701,-0.3749,0.3913,0.0796,-3.9132,0.8963,0.1027
2026:02:23T00:00:00,11,0.9327,0.8034,-0.161,0.3636,0.0106,-33.4486,0.8963,0.1027
