issued_time,n_hours,mean_lead_hours,accumulated_obs_mm,accumulated_forecast_mm,difference_mm,ratio_fc_obs,abs_error_mm
2026:02:09T00:00:00,129,66.0,122.4,141.5,19.1,1.156,19.1
2026:02:09T12:00:00,128,66.3,114.0,108.8,-5.2,0.9544,5.2
2026:02:10T00:00:00,121,63.6,114.0,167.6,53.6,1.4702,53.6
2026:02:10T12:00:00,115,62.0,115.2,115.0,-0.2,0.9983,0.2
2026:02:11T00:00:00,115,64.5,115.2,75.0,-40.2,0.651,40.2
2026:02:11T12:00:00,115,67.0,106.8,65.76,-41.04,0.6157,41.04
2026:02:12T00:00:00,115,69.5,106.8,62.3,-44.5,0.5833,44.5
2026:02:12T12:00:00,115,72.0,127.2,34.0,-93.2,0.2673,93.2
2026:02:13T00:00:00,115,74.5,99.6,80.2,-19.4,0.8052,19.4
2026:02:13T12:00:00,120,73.6,129.6,35.6,-94.0,0.2747,94.0
2026:02:14T00:00:00,125,72.2,134.4,28.1,-106.3,0.2091,106.3
2026:02:14T12:00:00,125,73.5,121.2,84.0,-37.2,0.6931,37.2
2026:02:15T00:00:00,125,74.9,121.2,58.8,-62.4,0.4851,62.4
2026:02:15T12:00:00,130,73.1,121.2,81.9,-39.3,0.6757,39.3
2026:02:16T00:00:00,136,70.5,130.8,81.3,-49.5,0.6216,49.5
2026:02:16T12:00:00,139,69.0,128.4,96.0,-32.4,0.7477,32.4
2026:02:17T00:00:00,139,69.0,130.8,74.0,-56.8,0.5657,56.8
2026:02:17T12:00:00,139,69.0,136.8,125.5,-11.3,0.9174,11.3
2026:02:18T00:00:00,131,65.0,129.6,212.6,83.0,1.6404,83.0
2026:02:18T12:00:00,119,59.0,114.0,95.0,-19.0,0.8333,19.0
2026:02:19T00:00:00,107,53.0,114.0,74.0,-40.0,0.6491,40.0
2026:02:19T12:00:00,95,47.0,84.0,69.7,-14.3,0.8298,14.3
2026:02:20T00:00:00,83,41.0,31.2,55.2,24.0,1.7692,24.0
2026:02:20T12:00:00,71,35.0,19.2,30.7,11.5,1.599,11.5
2026:02:21T00:00:00,59,29.0,19.2,34.9,15.7,1.8177,15.7
2026:02:21T12:00:00,47,23.0,9.6,1.9,-7.7,0.1979,7.7
2026:02:22T00:00:00,35,17.0,9.6,7.0,-2.6,0.7292,2.6
2026:02:22T12:00:00,23,11.0,7.2,9.5,2.3,1.3194,2.3
2026:02:23T00:00:00,11,5.0,0.0,3.4,3.4,,3.4
