issued_time,n_pairs,mse_forecast,mse_climatology,mse_skill_score,brier_score_forecast,brier_score_climatology,brier_skill_score,climatology_mean,climatology_rain_prob
2026:02:09T00:00:00,25,2.339,1.6509,-0.4168,0.32,0.106,-2.0189,0.7927,0.1
2026:02:09T12:00:00,25,48.6812,0.6099,-78.8164,0.2,0.042,-3.7619,0.7927,0.1
2026:02:10T00:00:00,25,71.0996,0.5914,-119.2199,0.2,0.074,-1.7027,0.7927,0.1
2026:02:10T12:00:00,25,36.5552,2.8996,-11.607,0.28,0.074,-2.7838,0.7927,0.1
2026:02:11T00:00:00,25,18.0812,2.9181,-5.1962,0.32,0.042,-6.619,0.7927,0.1
2026:02:11T12:00:00,25,3.1958,0.6881,-3.6443,0.32,0.074,-3.3243,0.7927,0.1
2026:02:12T00:00:00,25,25.6104,18.5979,-0.3771,0.44,0.138,-2.1884,0.7927,0.1
2026:02:12T12:00:00,20,24.771,22.9925,-0.0774,0.2,0.13,-0.5385,0.7927,0.1
2026:02:13T00:00:00,15,0.0399,0.6284,0.9365,0.2667,0.01,-25.6667,0.7927,0.1
2026:02:13T12:00:00,20,284.276,254.0977,-0.1188,0.35,0.09,-2.8889,0.7927,0.1
2026:02:14T00:00:00,25,186.0928,203.4038,0.0851,0.32,0.074,-3.3243,0.7927,0.1
2026:02:14T12:00:00,20,18.432,0.6284,-28.3309,0.05,0.01,-4.0,0.7927,0.1
2026:02:15T00:00:00,13,0.0,0.6284,1.0,0.0,0.01,1.0,0.7927,0.1
2026:02:15T12:00:00,16,0.2031,0.7506,0.7294,0.125,0.06,-1.0833,0.7927,0.1
2026:02:16T00:00:00,22,0.8168,0.6963,-0.1732,0.2273,0.0827,-1.7473,0.7927,0.1
2026:02:16T12:00:00,25,0.058,0.6099,0.9049,0.08,0.042,-0.9048,0.7927,0.1
2026:02:17T00:00:00,25,2.0756,2.2454,0.0756,0.16,0.042,-2.8095,0.7927,0.1
2026:02:17T12:00:00,25,22.6796,10.9905,-1.0636,0.36,0.074,-3.8649,0.7927,0.1
2026:02:18T00:00:00,25,13.9574,9.3735,-0.489,0.6,0.042,-13.2857,0.7927,0.1
2026:02:18T12:00:00,25,25.9812,22.5147,-0.154,0.16,0.106,-0.5094,0.7927,0.1
2026:02:19T00:00:00,25,53.4859,65.3059,0.181,0.32,0.33,0.0303,0.7927,0.1
2026:02:19T12:00:00,25,47.3328,44.5573,-0.0623,0.28,0.298,0.0604,0.7927,0.1
2026:02:20T00:00:00,25,1.9014,2.0562,0.0753,0.2,0.106,-0.8868,0.7927,0.1
2026:02:20T12:00:00,25,4.2828,2.3236,-0.8432,0.36,0.074,-3.8649,0.7927,0.1
2026:02:21T00:00:00,25,6.3932,2.3236,-1.7514,0.48,0.074,-5.4865,0.7927,0.1
2026:02:21T12:00:00,25,0.3088,0.6881,0.5512,0.24,0.074,-2.2432,0.7927,0.1
2026:02:22T00:00:00,25,1.8473,1.7476,-0.057,0.48,0.106,-3.5283,0.7927,0.1
2026:02:22T12:00:00,23,2.5711,1.7599,-0.4609,0.3913,0.0796,-3.918,0.7927,0.1
2026:02:23T00:00:00,11,0.9327,0.6284,-0.4843,0.3636,0.01,-35.3636,0.7927,0.1
