final_rank,issued_time,n_pairs,mean_lead_hours,mae,rmse,bias,pearson_r,csi,rank_mae,rank_csi,composite_rank
1,2026:02:15T12:00:00,16,13.6,0.12,0.4507,-0.1062,0.9859,0.3333,4,4,4.0
2,2026:02:20T00:00:00,25,12.0,0.452,1.3789,-0.376,0.343,0.2857,9,5,7.0
3,2026:02:09T00:00:00,25,12.0,0.5864,1.5294,-0.068,-0.0752,0.2,11,6,8.5
4,2026:02:11T12:00:00,25,12.0,0.8344,1.7877,0.8024,0.2975,0.2,13,7,10.0
5,2026:02:18T12:00:00,25,12.0,1.508,5.0972,-0.644,0.0105,0.4286,19,3,11.0
6,2026:02:13T00:00:00,15,11.9,0.0667,0.1998,0.0667,,0.0,3,21,12.0
7,2026:02:15T00:00:00,13,9.5,0.0,0.0,0.0,,0,1,23,12.0
8,2026:02:12T12:00:00,20,9.8,1.5,4.977,-1.25,-0.0653,0.2,18,8,13.0
9,2026:02:16T12:00:00,25,12.0,0.052,0.2408,-0.044,-0.0417,0.0,2,25,13.5
10,2026:02:19T12:00:00,25,12.0,2.568,6.8799,-2.464,0.0377,0.5,25,2,13.5
11,2026:02:19T00:00:00,25,12.0,3.1656,7.3134,-1.964,0.3842,0.5,28,1,14.5
12,2026:02:21T00:00:00,25,12.0,1.092,2.5285,0.596,0.1067,0.1429,16,13,14.5
13,2026:02:22T00:00:00,25,12.0,0.52,1.3591,-0.104,0.0835,0.0769,10,19,14.5
14,2026:02:22T12:00:00,23,11.0,0.7209,1.6035,0.1,-0.0919,0.1,12,17,14.5
15,2026:02:16T00:00:00,22,13.2,0.3773,0.9038,0.05,-0.0957,0.0,8,24,16.0
16,2026:02:17T00:00:00,25,12.0,0.3008,1.4407,-0.276,-0.0567,0.0,6,26,16.0
17,2026:02:17T12:00:00,25,12.0,1.964,4.7623,0.676,0.0634,0.1818,22,10,16.0
18,2026:02:11T00:00:00,25,12.0,1.436,4.2522,1.436,0.9494,0.1111,17,16,16.5
19,2026:02:21T12:00:00,25,12.0,0.192,0.5557,-0.096,-0.0983,0.0,5,28,16.5
20,2026:02:09T12:00:00,25,12.0,2.388,6.9772,2.348,-0.0528,0.1667,24,11,17.5
21,2026:02:14T00:00:00,25,12.0,3.096,13.6416,-2.408,0.5102,0.2,27,9,18.0
22,2026:02:23T00:00:00,11,5.0,0.3109,0.9658,0.3091,,0.0,7,29,18.0
23,2026:02:10T12:00:00,25,12.0,2.016,6.0461,1.792,0.1514,0.125,23,14,18.5
24,2026:02:14T12:00:00,20,9.9,0.96,4.2933,0.96,,0.0,15,22,18.5
25,2026:02:10T00:00:00,25,12.0,3.076,8.4321,2.98,0.0829,0.1667,26,12,19.0
26,2026:02:12T00:00:00,25,12.0,1.912,5.0607,-0.48,-0.0869,0.0833,21,18,19.5
27,2026:02:18T00:00:00,25,12.0,1.528,3.736,0.288,-0.0884,0.0625,20,20,20.0
28,2026:02:20T12:00:00,25,12.0,0.86,2.0695,0.092,-0.094,0.0,14,27,20.5
29,2026:02:13T12:00:00,20,14.1,4.91,16.8605,-2.32,-0.0641,0.125,29,15,22.0
