issued_time,n_pairs,hits,misses,false_alarms,correct_negatives,correct_total,accuracy_pct,obs_rain_count,obs_no_rain_count,fc_rain_count,fc_no_rain_count
2026:02:09T00:00:00,25,2,1,7,15,17,68.0,3,22,9,16
2026:02:09T12:00:00,25,1,0,5,19,20,80.0,1,24,6,19
2026:02:10T00:00:00,25,1,1,4,19,20,80.0,2,23,5,20
2026:02:10T12:00:00,25,1,1,6,17,18,72.0,2,23,7,18
2026:02:11T00:00:00,25,1,0,8,16,17,68.0,1,24,9,16
2026:02:11T12:00:00,25,2,0,8,15,17,68.0,2,23,10,15
2026:02:12T00:00:00,25,1,3,8,13,14,56.0,4,21,9,16
2026:02:12T12:00:00,20,1,2,2,15,16,80.0,3,17,3,17
2026:02:13T00:00:00,15,0,0,4,11,11,73.33,0,15,4,11
2026:02:13T12:00:00,20,1,1,6,12,13,65.0,2,18,7,13
2026:02:14T00:00:00,25,2,0,8,15,17,68.0,2,23,10,15
2026:02:14T12:00:00,20,0,0,1,19,19,95.0,0,20,1,19
2026:02:15T00:00:00,13,0,0,0,13,13,100.0,0,13,0,13
2026:02:15T12:00:00,16,1,0,2,13,14,87.5,1,15,3,13
2026:02:16T00:00:00,22,0,2,3,17,17,77.27,2,20,3,19
2026:02:16T12:00:00,25,0,1,1,23,23,92.0,1,24,1,24
2026:02:17T00:00:00,25,0,1,3,21,21,84.0,1,24,3,22
2026:02:17T12:00:00,25,2,0,9,14,16,64.0,2,23,11,14
2026:02:18T00:00:00,25,1,0,15,9,10,40.0,1,24,16,9
2026:02:18T12:00:00,25,3,0,4,18,21,84.0,3,22,7,18
2026:02:19T00:00:00,25,8,2,6,9,17,68.0,10,15,14,11
2026:02:19T12:00:00,25,7,2,5,11,18,72.0,9,16,12,13
2026:02:20T00:00:00,25,2,1,4,18,20,80.0,3,22,6,19
2026:02:20T12:00:00,25,0,2,7,16,16,64.0,2,23,7,18
2026:02:21T00:00:00,25,2,0,12,11,13,52.0,2,23,14,11
2026:02:21T12:00:00,25,0,2,4,19,19,76.0,2,23,4,21
2026:02:22T00:00:00,25,1,2,10,12,13,52.0,3,22,11,14
2026:02:22T12:00:00,23,1,1,8,13,14,60.87,2,21,9,14
2026:02:23T00:00:00,11,0,0,4,7,7,63.64,0,11,4,7
