issued_time,n_pairs,hits,misses,false_alarms,correct_negatives,correct_total,accuracy_pct,obs_rain_count,obs_no_rain_count,fc_rain_count,fc_no_rain_count
2026:02:09T00:00:00,24,1,1,1,21,22,91.67,2,22,2,22
2026:02:09T12:00:00,24,0,1,0,23,23,95.83,1,23,0,24
2026:02:10T00:00:00,24,0,0,3,21,21,87.5,0,24,3,21
2026:02:10T12:00:00,24,0,0,0,24,24,100.0,0,24,0,24
2026:02:11T00:00:00,24,0,0,0,24,24,100.0,0,24,0,24
2026:02:11T12:00:00,23,0,0,0,23,23,100.0,0,23,0,23
2026:02:12T00:00:00,23,0,0,0,23,23,100.0,0,23,0,23
2026:02:12T12:00:00,23,0,1,0,22,22,95.65,1,22,0,23
2026:02:13T00:00:00,23,0,1,0,22,22,95.65,1,22,0,23
2026:02:13T12:00:00,23,0,0,0,23,23,100.0,0,23,0,23
2026:02:14T00:00:00,22,0,6,1,15,15,68.18,6,16,1,21
2026:02:14T12:00:00,22,0,6,1,15,15,68.18,6,16,1,21
2026:02:15T00:00:00,22,0,1,0,21,21,95.45,1,21,0,22
2026:02:15T12:00:00,23,0,1,3,19,19,82.61,1,22,3,20
2026:02:16T00:00:00,24,1,0,5,18,19,79.17,1,23,6,18
2026:02:16T12:00:00,23,0,1,2,20,20,86.96,1,22,2,21
2026:02:17T00:00:00,23,0,0,2,21,21,91.3,0,23,2,21
2026:02:17T12:00:00,24,0,0,0,24,24,100.0,0,24,0,24
2026:02:18T00:00:00,24,0,0,0,24,24,100.0,0,24,0,24
2026:02:18T12:00:00,24,1,0,0,23,24,100.0,1,23,1,23
2026:02:19T00:00:00,24,1,0,1,22,23,95.83,1,23,2,22
2026:02:19T12:00:00,21,0,0,2,19,19,90.48,0,21,2,19
2026:02:20T00:00:00,21,0,1,1,19,19,90.48,1,20,1,20
2026:02:20T12:00:00,24,0,1,1,22,22,91.67,1,23,1,23
2026:02:21T00:00:00,24,1,2,3,18,19,79.17,3,21,4,20
2026:02:21T12:00:00,24,1,3,2,18,19,79.17,4,20,3,21
2026:02:22T00:00:00,24,1,2,4,17,18,75.0,3,21,5,19
2026:02:22T12:00:00,24,0,2,0,22,22,91.67,2,22,0,24
2026:02:23T00:00:00,12,0,0,3,9,9,75.0,0,12,3,9
