time,value_obs,issued_2026:02:09T00:00:00,issued_2026:02:09T12:00:00,issued_2026:02:10T00:00:00,issued_2026:02:10T12:00:00,issued_2026:02:11T00:00:00,issued_2026:02:11T12:00:00,issued_2026:02:12T00:00:00,issued_2026:02:12T12:00:00,issued_2026:02:13T00:00:00,issued_2026:02:13T12:00:00,issued_2026:02:14T00:00:00,issued_2026:02:14T12:00:00,issued_2026:02:15T00:00:00,issued_2026:02:15T12:00:00,issued_2026:02:16T00:00:00,issued_2026:02:16T12:00:00,issued_2026:02:17T00:00:00,issued_2026:02:17T12:00:00,issued_2026:02:18T00:00:00,issued_2026:02:18T12:00:00,issued_2026:02:19T00:00:00,issued_2026:02:19T12:00:00,issued_2026:02:20T00:00:00,issued_2026:02:20T12:00:00,issued_2026:02:21T00:00:00,issued_2026:02:21T12:00:00,issued_2026:02:22T00:00:00,issued_2026:02:22T12:00:00,issued_2026:02:23T00:00:00
2026-02-09T00:00:00Z,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-09T01:00:00Z,0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-09T02:00:00Z,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-09T03:00:00Z,0,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-09T04:00:00Z,0,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-09T05:00:00Z,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-09T06:00:00Z,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-09T07:00:00Z,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-09T08:00:00Z,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-09T09:00:00Z,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-09T10:00:00Z,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-09T11:00:00Z,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-09T12:00:00Z,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-09T13:00:00Z,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-09T14:00:00Z,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-09T15:00:00Z,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-09T16:00:00Z,0,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-09T17:00:00Z,0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-09T18:00:00Z,0,0.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-09T19:00:00Z,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-09T20:00:00Z,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-09T21:00:00Z,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-09T22:00:00Z,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-09T23:00:00Z,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10T00:00:00Z,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10T01:00:00Z,0,0.0,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10T02:00:00Z,0,0.1,0.2,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10T03:00:00Z,0,0.5,0.3,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10T04:00:00Z,0,0.0,0.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10T05:00:00Z,0,0.0,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10T06:00:00Z,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10T07:00:00Z,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10T08:00:00Z,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10T09:00:00Z,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10T10:00:00Z,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10T11:00:00Z,0,0.0,0.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10T12:00:00Z,0,0.2,1.6,0.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10T13:00:00Z,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10T14:00:00Z,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10T15:00:00Z,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
